accuracies,n_authors,n_samples,FE_algorithm,n_gram,doc_len
0.15999999999999998,10,40,Word n-gram,5,1-26
0.17333333333333334,20,120,Word n-gram,5,1-26
0.16124999999999998,20,80,Word n-gram,5,1-26
0.13374999999999998,20,40,Word n-gram,5,1-26
0.8583333333333334,2,120,Char n-gram,1,1-26
0.91875,2,80,Char n-gram,1,1-26
0.85,2,40,Char n-gram,1,1-26
0.5583333333333333,5,120,Char n-gram,1,1-26
0.5900000000000001,5,80,Char n-gram,1,1-26
0.5050000000000001,5,40,Char n-gram,1,1-26
0.4241666666666667,10,120,Char n-gram,1,1-26
0.42749999999999994,10,80,Char n-gram,1,1-26
0.39,10,40,Char n-gram,1,1-26
0.35208333333333336,20,120,Char n-gram,1,1-26
0.37374999999999997,20,80,Char n-gram,1,1-26
0.32375000000000004,20,40,Char n-gram,1,1-26
0.9416666666666667,2,120,Char n-gram,2,1-26
0.88125,2,80,Char n-gram,2,1-26
0.875,2,40,Char n-gram,2,1-26
0.6866666666666668,5,120,Char n-gram,2,1-26
0.6725000000000001,5,80,Char n-gram,2,1-26
0.63,5,40,Char n-gram,2,1-26
0.6533333333333333,10,120,Char n-gram,2,1-26
0.6375,10,80,Char n-gram,2,1-26
0.5525,10,40,Char n-gram,2,1-26
0.57625,20,120,Char n-gram,2,1-26
0.5575,20,80,Char n-gram,2,1-26
0.48374999999999996,20,40,Char n-gram,2,1-26
0.9083333333333334,2,120,Char n-gram,3,1-26
0.9125,2,80,Char n-gram,3,1-26
0.85,2,40,Char n-gram,3,1-26
0.7316666666666667,5,120,Char n-gram,3,1-26
0.7075,5,80,Char n-gram,3,1-26
0.6900000000000001,5,40,Char n-gram,3,1-26
0.7016666666666668,10,120,Char n-gram,3,1-26
0.64625,10,80,Char n-gram,3,1-26
0.6099999999999999,10,40,Char n-gram,3,1-26
0.66875,20,120,Char n-gram,3,1-26
0.618125,20,80,Char n-gram,3,1-26
0.5650000000000001,20,40,Char n-gram,3,1-26
0.8166666666666667,2,120,Char n-gram,4,1-26
0.81875,2,80,Char n-gram,4,1-26
0.7625,2,40,Char n-gram,4,1-26
0.7316666666666667,5,120,Char n-gram,4,1-26
0.66,5,80,Char n-gram,4,1-26
0.5599999999999998,5,40,Char n-gram,4,1-26
0.6958333333333333,10,120,Char n-gram,4,1-26
0.69125,10,80,Char n-gram,4,1-26
0.5800000000000001,10,40,Char n-gram,4,1-26
0.6637500000000001,20,120,Char n-gram,4,1-26
0.5900000000000001,20,80,Char n-gram,4,1-26
0.53,20,40,Char n-gram,4,1-26
0.8,2,120,Char n-gram,5,1-26
0.78125,2,80,Char n-gram,5,1-26
0.65,2,40,Char n-gram,5,1-26
0.6716666666666667,5,120,Char n-gram,5,1-26
0.655,5,80,Char n-gram,5,1-26
0.61,5,40,Char n-gram,5,1-26
0.6874999999999999,10,120,Char n-gram,5,1-26
0.6475000000000001,10,80,Char n-gram,5,1-26
0.5549999999999999,10,40,Char n-gram,5,1-26
0.6558333333333334,20,120,Char n-gram,5,1-26
0.6043750000000001,20,80,Char n-gram,5,1-26
0.51125,20,40,Char n-gram,5,1-26
0.6875,2,120,POS n-gram,1,27-55
0.74375,2,80,POS n-gram,1,27-55
0.75,2,40,POS n-gram,1,27-55
0.43499999999999994,5,120,POS n-gram,1,27-55
0.39999999999999997,5,80,POS n-gram,1,27-55
0.38999999999999996,5,40,POS n-gram,1,27-55
0.27999999999999997,10,120,POS n-gram,1,27-55
0.28375000000000006,10,80,POS n-gram,1,27-55
0.2125,10,40,POS n-gram,1,27-55
0.20249999999999999,20,120,POS n-gram,1,27-55
0.18624999999999997,20,80,POS n-gram,1,27-55
0.15249999999999997,20,40,POS n-gram,1,27-55
0.7541666666666667,2,120,POS n-gram,2,27-55
0.7625,2,80,POS n-gram,2,27-55
0.6875,2,40,POS n-gram,2,27-55
0.5883333333333333,5,120,POS n-gram,2,27-55
0.5050000000000001,5,80,POS n-gram,2,27-55
0.4149999999999999,5,40,POS n-gram,2,27-55
0.4833333333333333,10,120,POS n-gram,2,27-55
0.4625,10,80,POS n-gram,2,27-55
0.42749999999999994,10,40,POS n-gram,2,27-55
0.4033333333333333,20,120,POS n-gram,2,27-55
0.34875,20,80,POS n-gram,2,27-55
0.35875,20,40,POS n-gram,2,27-55
0.775,2,120,POS n-gram,3,27-55
0.7625,2,80,POS n-gram,3,27-55
0.7375,2,40,POS n-gram,3,27-55
0.62,5,120,POS n-gram,3,27-55
0.6224999999999999,5,80,POS n-gram,3,27-55
0.5,5,40,POS n-gram,3,27-55
0.5941666666666666,10,120,POS n-gram,3,27-55
0.4925,10,80,POS n-gram,3,27-55
0.43,10,40,POS n-gram,3,27-55
0.55,20,120,POS n-gram,3,27-55
0.488125,20,80,POS n-gram,3,27-55
0.38875000000000004,20,40,POS n-gram,3,27-55
0.7333333333333333,2,120,POS n-gram,4,27-55
0.64375,2,80,POS n-gram,4,27-55
0.55,2,40,POS n-gram,4,27-55
0.6266666666666667,5,120,POS n-gram,4,27-55
0.5825,5,80,POS n-gram,4,27-55
0.48,5,40,POS n-gram,4,27-55
0.625,10,120,POS n-gram,4,27-55
0.5449999999999999,10,80,POS n-gram,4,27-55
0.385,10,40,POS n-gram,4,27-55
0.5987500000000001,20,120,POS n-gram,4,27-55
0.51875,20,80,POS n-gram,4,27-55
0.35625,20,40,POS n-gram,4,27-55
0.5833333333333333,2,120,POS n-gram,5,27-55
0.53125,2,80,POS n-gram,5,27-55
0.475,2,40,POS n-gram,5,27-55
0.5966666666666666,5,120,POS n-gram,5,27-55
0.475,5,80,POS n-gram,5,27-55
0.425,5,40,POS n-gram,5,27-55
0.6191666666666668,10,120,POS n-gram,5,27-55
0.51,10,80,POS n-gram,5,27-55
0.39,10,40,POS n-gram,5,27-55
0.6183333333333334,20,120,POS n-gram,5,27-55
0.514375,20,80,POS n-gram,5,27-55
0.30625,20,40,POS n-gram,5,27-55
0.9333333333333333,2,120,Word n-gram,1,27-55
0.91875,2,80,Word n-gram,1,27-55
0.9,2,40,Word n-gram,1,27-55
0.8099999999999999,5,120,Word n-gram,1,27-55
0.775,5,80,Word n-gram,1,27-55
