"accuracies","n_authors","n_samples","FE_algorithm","n_gram","doc_len"
"0.7372857142857143","14","500","POS n-gram","1","1-46"
"0.5666666666666667","15","10","POS n-gram","1","1-46"
"0.6166666666666666","15","20","POS n-gram","1","1-46"
"0.62","15","30","POS n-gram","1","1-46"
"0.6706666666666666","15","50","POS n-gram","1","1-46"
"0.6993333333333334","15","100","POS n-gram","1","1-46"
"0.7093333333333333","15","200","POS n-gram","1","1-46"
"0.7028888888888889","15","300","POS n-gram","1","1-46"
"0.7061333333333335","15","500","POS n-gram","1","1-46"
"0.5125","16","10","POS n-gram","1","1-46"
"0.615625","16","20","POS n-gram","1","1-46"
"0.6104166666666666","16","30","POS n-gram","1","1-46"
"0.62","16","50","POS n-gram","1","1-46"
"0.661875","16","100","POS n-gram","1","1-46"
"0.6621875","16","200","POS n-gram","1","1-46"
"0.6691666666666667","16","300","POS n-gram","1","1-46"
"0.6739999999999999","16","500","POS n-gram","1","1-46"
"0.5823529411764706","17","10","POS n-gram","1","1-46"
"0.5441176470588236","17","20","POS n-gram","1","1-46"
"0.5686274509803921","17","30","POS n-gram","1","1-46"
"0.5941176470588234","17","50","POS n-gram","1","1-46"
"0.6194117647058823","17","100","POS n-gram","1","1-46"
"0.6241176470588237","17","200","POS n-gram","1","1-46"
"0.6411764705882353","17","300","POS n-gram","1","1-46"
"0.6474117647058824","17","500","POS n-gram","1","1-46"
"0.5","18","10","POS n-gram","1","1-46"
"0.586111111111111","18","20","POS n-gram","1","1-46"
"0.5944444444444446","18","30","POS n-gram","1","1-46"
"0.6133333333333333","18","50","POS n-gram","1","1-46"
"0.6233333333333334","18","100","POS n-gram","1","1-46"
"0.6525000000000001","18","200","POS n-gram","1","1-46"
"0.6507407407407407","18","300","POS n-gram","1","1-46"
"0.6616666666666666","18","500","POS n-gram","1","1-46"
"0.5684210526315789","19","10","POS n-gram","1","1-46"
"0.5789473684210525","19","20","POS n-gram","1","1-46"
"0.5701754385964912","19","30","POS n-gram","1","1-46"
"0.6052631578947368","19","50","POS n-gram","1","1-46"
"0.6273684210526316","19","100","POS n-gram","1","1-46"
"0.6323684210526317","19","200","POS n-gram","1","1-46"
"0.6310526315789474","19","300","POS n-gram","1","1-46"
"0.6308421052631579","19","500","POS n-gram","1","1-46"
