accuracies,n_authors,n_samples,FE_algorithm,n_gram,FE_algorithm_ngram
0.9222222222222222,9,30,Word n-gram,1,Word n-gram 1
0.9488888888888889,9,50,Word n-gram,1,Word n-gram 1
0.9666666666666668,9,100,Word n-gram,1,Word n-gram 1
0.9755555555555555,9,200,Word n-gram,1,Word n-gram 1
0.9844444444444445,9,300,Word n-gram,1,Word n-gram 1
0.9864444444444445,9,500,Word n-gram,1,Word n-gram 1
0.8400000000000001,10,10,Word n-gram,1,Word n-gram 1
0.8699999999999999,10,20,Word n-gram,1,Word n-gram 1
0.9099999999999999,10,30,Word n-gram,1,Word n-gram 1
0.938,10,50,Word n-gram,1,Word n-gram 1
0.959,10,100,Word n-gram,1,Word n-gram 1
0.9765,10,200,Word n-gram,1,Word n-gram 1
0.9816666666666667,10,300,Word n-gram,1,Word n-gram 1
0.9890000000000001,10,500,Word n-gram,1,Word n-gram 1
0.8181818181818181,11,10,Word n-gram,1,Word n-gram 1
0.8545454545454545,11,20,Word n-gram,1,Word n-gram 1
0.8909090909090909,11,30,Word n-gram,1,Word n-gram 1
0.9072727272727272,11,50,Word n-gram,1,Word n-gram 1
0.9245454545454546,11,100,Word n-gram,1,Word n-gram 1
0.9490909090909092,11,200,Word n-gram,1,Word n-gram 1
0.9609090909090909,11,300,Word n-gram,1,Word n-gram 1
0.9767272727272726,11,500,Word n-gram,1,Word n-gram 1
0.7916666666666666,12,10,Word n-gram,1,Word n-gram 1
0.8458333333333332,12,20,Word n-gram,1,Word n-gram 1
0.8722222222222221,12,30,Word n-gram,1,Word n-gram 1
0.9099999999999999,12,50,Word n-gram,1,Word n-gram 1
0.9041666666666666,12,100,Word n-gram,1,Word n-gram 1
0.9416666666666667,12,200,Word n-gram,1,Word n-gram 1
0.9622222222222222,12,300,Word n-gram,1,Word n-gram 1
0.9738333333333333,12,500,Word n-gram,1,Word n-gram 1
0.7846153846153847,13,10,Word n-gram,1,Word n-gram 1
0.7961538461538462,13,20,Word n-gram,1,Word n-gram 1
0.7923076923076924,13,30,Word n-gram,1,Word n-gram 1
0.8584615384615384,13,50,Word n-gram,1,Word n-gram 1
0.9223076923076924,13,100,Word n-gram,1,Word n-gram 1
0.9326923076923077,13,200,Word n-gram,1,Word n-gram 1
0.9476923076923077,13,300,Word n-gram,1,Word n-gram 1
0.9678461538461537,13,500,Word n-gram,1,Word n-gram 1
0.8,14,10,Word n-gram,1,Word n-gram 1
0.7678571428571429,14,20,Word n-gram,1,Word n-gram 1
0.8357142857142857,14,30,Word n-gram,1,Word n-gram 1
0.8285714285714285,14,50,Word n-gram,1,Word n-gram 1
0.8907142857142857,14,100,Word n-gram,1,Word n-gram 1
0.9396428571428572,14,200,Word n-gram,1,Word n-gram 1
0.944047619047619,14,300,Word n-gram,1,Word n-gram 1
0.9584285714285714,14,500,Word n-gram,1,Word n-gram 1
0.6866666666666666,15,10,Word n-gram,1,Word n-gram 1
0.7166666666666667,15,20,Word n-gram,1,Word n-gram 1
0.7622222222222221,15,30,Word n-gram,1,Word n-gram 1
0.8,15,50,Word n-gram,1,Word n-gram 1
0.8526666666666666,15,100,Word n-gram,1,Word n-gram 1
0.893,15,200,Word n-gram,1,Word n-gram 1
0.9164444444444444,15,300,Word n-gram,1,Word n-gram 1
0.9310666666666668,15,500,Word n-gram,1,Word n-gram 1
0.6875,16,10,Word n-gram,1,Word n-gram 1
0.715625,16,20,Word n-gram,1,Word n-gram 1
0.7104166666666667,16,30,Word n-gram,1,Word n-gram 1
0.81125,16,50,Word n-gram,1,Word n-gram 1
0.834375,16,100,Word n-gram,1,Word n-gram 1
0.8890625,16,200,Word n-gram,1,Word n-gram 1
0.9058333333333334,16,300,Word n-gram,1,Word n-gram 1
0.920125,16,500,Word n-gram,1,Word n-gram 1
0.6823529411764706,17,10,Word n-gram,1,Word n-gram 1
0.7264705882352942,17,20,Word n-gram,1,Word n-gram 1
0.7372549019607842,17,30,Word n-gram,1,Word n-gram 1
0.808235294117647,17,50,Word n-gram,1,Word n-gram 1
0.8623529411764705,17,100,Word n-gram,1,Word n-gram 1
0.9147058823529411,17,200,Word n-gram,1,Word n-gram 1
0.9331372549019609,17,300,Word n-gram,1,Word n-gram 1
0.949764705882353,17,500,Word n-gram,1,Word n-gram 1
0.7055555555555555,18,10,Word n-gram,1,Word n-gram 1
0.7000000000000001,18,20,Word n-gram,1,Word n-gram 1
0.774074074074074,18,30,Word n-gram,1,Word n-gram 1
0.8044444444444446,18,50,Word n-gram,1,Word n-gram 1
0.8783333333333333,18,100,Word n-gram,1,Word n-gram 1
0.913888888888889,18,200,Word n-gram,1,Word n-gram 1
0.9344444444444445,18,300,Word n-gram,1,Word n-gram 1
0.9536666666666667,18,500,Word n-gram,1,Word n-gram 1
0.6736842105263158,19,10,Word n-gram,1,Word n-gram 1
0.6736842105263158,19,20,Word n-gram,1,Word n-gram 1
0.7473684210526315,19,30,Word n-gram,1,Word n-gram 1
0.8084210526315789,19,50,Word n-gram,1,Word n-gram 1
0.8310526315789474,19,100,Word n-gram,1,Word n-gram 1
0.8978947368421052,19,200,Word n-gram,1,Word n-gram 1
0.9156140350877193,19,300,Word n-gram,1,Word n-gram 1
0.9358947368421052,19,500,Word n-gram,1,Word n-gram 1
0.65,20,10,Word n-gram,1,Word n-gram 1
0.685,20,20,Word n-gram,1,Word n-gram 1
0.7233333333333334,20,30,Word n-gram,1,Word n-gram 1
0.736,20,50,Word n-gram,1,Word n-gram 1
0.8535,20,100,Word n-gram,1,Word n-gram 1
0.8795,20,200,Word n-gram,1,Word n-gram 1
0.8996666666666666,20,300,Word n-gram,1,Word n-gram 1
0.9265000000000001,20,500,Word n-gram,1,Word n-gram 1
0.619047619047619,21,10,Word n-gram,1,Word n-gram 1
0.6690476190476191,21,20,Word n-gram,1,Word n-gram 1
0.7190476190476189,21,30,Word n-gram,1,Word n-gram 1
0.7552380952380953,21,50,Word n-gram,1,Word n-gram 1
0.8371428571428572,21,100,Word n-gram,1,Word n-gram 1
0.8842857142857143,21,200,Word n-gram,1,Word n-gram 1
0.913809523809524,21,300,Word n-gram,1,Word n-gram 1
0.9267619047619047,21,500,Word n-gram,1,Word n-gram 1
0.65,22,10,Word n-gram,1,Word n-gram 1
0.7227272727272727,22,20,Word n-gram,1,Word n-gram 1
0.7409090909090909,22,30,Word n-gram,1,Word n-gram 1
0.7963636363636362,22,50,Word n-gram,1,Word n-gram 1
0.8518181818181819,22,100,Word n-gram,1,Word n-gram 1
0.8799999999999999,22,200,Word n-gram,1,Word n-gram 1
0.9099999999999999,22,300,Word n-gram,1,Word n-gram 1
0.9280909090909091,22,500,Word n-gram,1,Word n-gram 1
0.5869565217391305,23,10,Word n-gram,1,Word n-gram 1
0.6521739130434783,23,20,Word n-gram,1,Word n-gram 1
0.7246376811594203,23,30,Word n-gram,1,Word n-gram 1
0.7652173913043478,23,50,Word n-gram,1,Word n-gram 1
0.8099999999999999,23,100,Word n-gram,1,Word n-gram 1
0.8752173913043478,23,200,Word n-gram,1,Word n-gram 1
0.897536231884058,23,300,Word n-gram,1,Word n-gram 1
0.914,23,500,Word n-gram,1,Word n-gram 1
0.575,24,10,Word n-gram,1,Word n-gram 1
0.65,24,20,Word n-gram,1,Word n-gram 1
0.7097222222222223,24,30,Word n-gram,1,Word n-gram 1
0.7458333333333333,24,50,Word n-gram,1,Word n-gram 1
0.8316666666666667,24,100,Word n-gram,1,Word n-gram 1
0.8677083333333334,24,200,Word n-gram,1,Word n-gram 1
0.8909722222222222,24,300,Word n-gram,1,Word n-gram 1
0.9163333333333332,24,500,Word n-gram,1,Word n-gram 1
0.5720000000000001,25,10,Word n-gram,1,Word n-gram 1
0.6759999999999999,25,20,Word n-gram,1,Word n-gram 1
0.7000000000000001,25,30,Word n-gram,1,Word n-gram 1
0.7687999999999999,25,50,Word n-gram,1,Word n-gram 1
0.8208,25,100,Word n-gram,1,Word n-gram 1
0.8699999999999999,25,200,Word n-gram,1,Word n-gram 1
0.8909333333333332,25,300,Word n-gram,1,Word n-gram 1
0.91128,25,500,Word n-gram,1,Word n-gram 1
0.6,26,10,Word n-gram,1,Word n-gram 1
0.6519230769230769,26,20,Word n-gram,1,Word n-gram 1
0.6961538461538461,26,30,Word n-gram,1,Word n-gram 1
0.7876923076923077,26,50,Word n-gram,1,Word n-gram 1
0.8419230769230769,26,100,Word n-gram,1,Word n-gram 1
0.8675,26,200,Word n-gram,1,Word n-gram 1
0.897179487179487,26,300,Word n-gram,1,Word n-gram 1
0.9133076923076923,26,500,Word n-gram,1,Word n-gram 1
0.6222222222222221,27,10,Word n-gram,1,Word n-gram 1
0.6666666666666667,27,20,Word n-gram,1,Word n-gram 1
0.7222222222222221,27,30,Word n-gram,1,Word n-gram 1
0.7429629629629629,27,50,Word n-gram,1,Word n-gram 1
0.8096296296296297,27,100,Word n-gram,1,Word n-gram 1
0.862037037037037,27,200,Word n-gram,1,Word n-gram 1
0.8846913580246915,27,300,Word n-gram,1,Word n-gram 1
0.9088888888888889,27,500,Word n-gram,1,Word n-gram 1
0.5857142857142856,28,10,Word n-gram,1,Word n-gram 1
0.6785714285714286,28,20,Word n-gram,1,Word n-gram 1
0.7023809523809523,28,30,Word n-gram,1,Word n-gram 1
0.7357142857142858,28,50,Word n-gram,1,Word n-gram 1
0.7914285714285715,28,100,Word n-gram,1,Word n-gram 1
0.8439285714285715,28,200,Word n-gram,1,Word n-gram 1
0.8667857142857143,28,300,Word n-gram,1,Word n-gram 1
0.893357142857143,28,500,Word n-gram,1,Word n-gram 1
0.596551724137931,29,10,Word n-gram,1,Word n-gram 1
0.6586206896551725,29,20,Word n-gram,1,Word n-gram 1
0.7091954022988506,29,30,Word n-gram,1,Word n-gram 1
0.7586206896551724,29,50,Word n-gram,1,Word n-gram 1
0.7917241379310345,29,100,Word n-gram,1,Word n-gram 1
0.8548275862068966,29,200,Word n-gram,1,Word n-gram 1
0.8722988505747127,29,300,Word n-gram,1,Word n-gram 1
0.8899310344827587,29,500,Word n-gram,1,Word n-gram 1
0.6033333333333333,30,10,Word n-gram,1,Word n-gram 1
0.6483333333333332,30,20,Word n-gram,1,Word n-gram 1
0.6544444444444445,30,30,Word n-gram,1,Word n-gram 1
0.722,30,50,Word n-gram,1,Word n-gram 1
0.779,30,100,Word n-gram,1,Word n-gram 1
0.8378333333333334,30,200,Word n-gram,1,Word n-gram 1
0.8595555555555554,30,300,Word n-gram,1,Word n-gram 1
0.8837333333333334,30,500,Word n-gram,1,Word n-gram 1
0.5903225806451612,31,10,Word n-gram,1,Word n-gram 1
0.6032258064516128,31,20,Word n-gram,1,Word n-gram 1
0.6698924731182797,31,30,Word n-gram,1,Word n-gram 1
0.7006451612903227,31,50,Word n-gram,1,Word n-gram 1
0.7670967741935485,31,100,Word n-gram,1,Word n-gram 1
0.8153225806451614,31,200,Word n-gram,1,Word n-gram 1
0.8444086021505376,31,300,Word n-gram,1,Word n-gram 1
0.873225806451613,31,500,Word n-gram,1,Word n-gram 1
0.559375,32,10,Word n-gram,1,Word n-gram 1
0.603125,32,20,Word n-gram,1,Word n-gram 1
0.6541666666666667,32,30,Word n-gram,1,Word n-gram 1
0.718125,32,50,Word n-gram,1,Word n-gram 1
0.76375,32,100,Word n-gram,1,Word n-gram 1
0.81703125,32,200,Word n-gram,1,Word n-gram 1
0.849375,32,300,Word n-gram,1,Word n-gram 1
0.8683125,32,500,Word n-gram,1,Word n-gram 1
0.5303030303030303,33,10,Word n-gram,1,Word n-gram 1
0.6227272727272728,33,20,Word n-gram,1,Word n-gram 1
0.6505050505050505,33,30,Word n-gram,1,Word n-gram 1
0.6903030303030303,33,50,Word n-gram,1,Word n-gram 1
0.7669696969696971,33,100,Word n-gram,1,Word n-gram 1
0.8151515151515152,33,200,Word n-gram,1,Word n-gram 1
0.8378787878787879,33,300,Word n-gram,1,Word n-gram 1
0.8639393939393939,33,500,Word n-gram,1,Word n-gram 1
0.5735294117647058,34,10,Word n-gram,1,Word n-gram 1
0.6147058823529413,34,20,Word n-gram,1,Word n-gram 1
0.6450980392156864,34,30,Word n-gram,1,Word n-gram 1
0.6976470588235294,34,50,Word n-gram,1,Word n-gram 1
0.7623529411764706,34,100,Word n-gram,1,Word n-gram 1
0.8158823529411764,34,200,Word n-gram,1,Word n-gram 1
0.8399019607843137,34,300,Word n-gram,1,Word n-gram 1
0.8693529411764706,34,500,Word n-gram,1,Word n-gram 1
0.5657142857142856,35,10,Word n-gram,1,Word n-gram 1
0.6114285714285714,35,20,Word n-gram,1,Word n-gram 1
0.6209523809523809,35,30,Word n-gram,1,Word n-gram 1
0.6897142857142857,35,50,Word n-gram,1,Word n-gram 1
0.7502857142857142,35,100,Word n-gram,1,Word n-gram 1
0.8182857142857142,35,200,Word n-gram,1,Word n-gram 1
0.8364761904761904,35,300,Word n-gram,1,Word n-gram 1
0.8578285714285714,35,500,Word n-gram,1,Word n-gram 1
0.5333333333333334,36,10,Word n-gram,1,Word n-gram 1
0.6138888888888888,36,20,Word n-gram,1,Word n-gram 1
0.624074074074074,36,30,Word n-gram,1,Word n-gram 1
0.6900000000000001,36,50,Word n-gram,1,Word n-gram 1
0.7469444444444445,36,100,Word n-gram,1,Word n-gram 1
0.8084722222222223,36,200,Word n-gram,1,Word n-gram 1
0.825925925925926,36,300,Word n-gram,1,Word n-gram 1
0.8563888888888889,36,500,Word n-gram,1,Word n-gram 1
0.5027027027027027,37,10,Word n-gram,1,Word n-gram 1
0.5972972972972974,37,20,Word n-gram,1,Word n-gram 1
0.636936936936937,37,30,Word n-gram,1,Word n-gram 1
0.7064864864864865,37,50,Word n-gram,1,Word n-gram 1
